TIPNR_ID	WIKIDATA_ID
Aaron_Exo.4.14	Q51676
Abagtha_Est.1.10	Q304781
Abda_1Ki.4.6	
Abdeel_Jer.36.26	Q2613514
Abdi_1Ch.6.44	
Abdi_2Ch.29.12	
Abdi_Ezr.10.26	
Abdiel_1Ch.5.15	Q26743342
Abdon_Jdg.12.13	Q308320
Abdon_1Ch.8.23	Q308320
Abdon_1Ch.8.30	Q308320
Abel_Gen.4.2	Q313421
Abi_2Ki.18.2	
Abiah_1Ch.2.24	
Abi-albon_2Sa.23.31	
Abiathar_1Sa.22.20	Q321804
Abida_Gen.25.4	
Abidan_Num.1.11	Q3494535
Abiel_1Sa.9.1	Q16128781
Abiezer_Num.26.30	Q20501924
Abiezer_2Sa.23.27	Q20501924
Abiezer_1Ch.7.18	Q20501924
Abigail_1Sa.25.3	
Abigail_2Sa.17.25	
Abihail_Num.3.35	
Abihail_1Ch.2.29	
Abihail_1Ch.5.14	
Abihail_2Ch.11.18	
Abihail_Est.2.15	
Abihu_Exo.6.23	
Abihud_1Ch.8.3	Q321170
Abijah_1Sa.8.2	
Abijah_1Ki.14.1	
Abijah_1Ki.14.31	
Abijah_1Ch.7.8	
Abijah_1Ch.24.10	
Abijah_Neh.10.7	
Abimael_Gen.10.28	Q14925390
Abimelech_Gen.20.2	
Abimelech_Jdg.8.31	
Abinadab_1Sa.7.1	Q11903854
Abinadab_1Sa.14.49	Q11903854
Abinadab_1Sa.16.8	Q11903854
Abinadab_1Ki.4.11	Q11903854
Abinoam_Jdg.4.6	Q4667882
Abiram_Num.16.1	Q9560907
Abiram_1Ki.16.34	Q9560907
Abishag_1Ki.1.3	Q321469
Abishai_1Sa.26.6	Q1154317
Abishua_1Ch.6.4	
Abishua_1Ch.8.4	
Abishur_1Ch.2.28	Q4667955
Abital_2Sa.3.4	Q33026741
Abitub_1Ch.8.11	
Abiud_Mat.1.13	Q321170
Abner_1Sa.14.50	Q1133337
Abraham_Gen.11.26	Q9181
Absalom_2Sa.3.3	Q205372
Achaicus_1Co.16.17	Q982939
Achan_Jos.7.1	Q1889647
Achbor_Gen.36.38	
Achbor_2Ki.22.12	
Achim_Mat.1.14	
Achish_1Sa.21.10	Q167185
Achsah_Jos.15.16	
Achsah_1Ch.2.49	
Adah_Gen.4.19	Q104901768
Adah_Gen.26.34	Q104901768
Adaiah_2Ki.22.1	
Adaiah_1Ch.8.21	
Adaiah_1Ch.9.12	
Adaiah_2Ch.23.1	
Adaiah_Ezr.10.29	
Adaiah_Ezr.10.39	
Adaiah_Neh.11.5	
Adalia_Est.9.8	
Adam_Gen.2.19	Q70899
Adbeel_Gen.25.13	Q24238724
Addar_1Ch.8.3	
Addi_Luk.3.28	
Adiel_1Ch.4.36	
Adiel_1Ch.9.12	
Adiel_1Ch.27.25	
Adin_Ezr.2.15	
Adin_Neh.10.16	
Adina_1Ch.11.42	
Adino_2Sa.23.8	
Adlai_1Ch.27.29	
Admatha_Est.1.14	
Adna_Ezr.10.30	
Adna_Neh.12.15	
Adnah_1Ch.12.20	
Adnah_2Ch.17.14	
Adoni-bezek_Jdg.1.5	
Adonijah_2Sa.3.4	Q360378
Adonijah_2Ch.17.8	Q360378
Adonijah_Neh.10.16	Q360378
Adonikam_Ezr.2.13	
Adoni-zedek_Jos.10.1	Q2468894
Adoram_2Sa.20.24	Q4057937
